number,index,trip1,trip2,trip3,trip4,trip5,trip6,trip7,trip8,cost,Total
1,4,122,0,0,0,103,0,0,0,3,11
2,7,123,0,0,0,102,0,0,0,3,11
3,10,124,0,0,0,101,142,121,0,3,13
4,15,126,0,0,0,106,0,0,0,3,11
5,16,127,0,0,0,104,0,0,0,3,11
6,47,129,109,130,0,107,0,0,0,3,8
7,74,132,112,139,0,116,0,0,0,3,8
8,78,134,0,0,0,115,0,0,0,3,6
9,104,137,117,141,120,140,119,128,108,2,11
