sat,sun,mon,tue,wed,thu,fri,total
1,0,0,1,0,0,0,22
1,0,0,2,0,0,0,22
1,0,0,3,0,0,0,24
1,0,0,4,0,0,0,22
1,0,0,5,0,0,0,22
1,0,0,6,0,0,0,19
1,0,0,7,0,0,0,19
1,0,0,8,0,0,0,17
1,0,0,9,0,0,0,22
2,0,0,1,0,0,0,22
2,0,0,2,0,0,0,22
2,0,0,3,0,0,0,24
2,0,0,4,0,0,0,22
2,0,0,5,0,0,0,22
2,0,0,6,0,0,0,19
2,0,0,7,0,0,0,19
2,0,0,8,0,0,0,17
2,0,0,9,0,0,0,22
3,0,0,1,0,0,0,24
3,0,0,2,0,0,0,24
3,0,0,3,0,0,0,26
3,0,0,4,0,0,0,24
3,0,0,5,0,0,0,24
3,0,0,6,0,0,0,21
3,0,0,7,0,0,0,21
3,0,0,8,0,0,0,19
3,0,0,9,0,0,0,24
4,0,0,1,0,0,0,22
4,0,0,2,0,0,0,22
4,0,0,3,0,0,0,24
4,0,0,4,0,0,0,22
4,0,0,5,0,0,0,22
4,0,0,6,0,0,0,19
4,0,0,7,0,0,0,19
4,0,0,8,0,0,0,17
4,0,0,9,0,0,0,22
5,0,0,1,0,0,0,22
5,0,0,2,0,0,0,22
5,0,0,3,0,0,0,24
5,0,0,4,0,0,0,22
5,0,0,5,0,0,0,22
5,0,0,6,0,0,0,19
5,0,0,7,0,0,0,19
5,0,0,8,0,0,0,17
5,0,0,9,0,0,0,22
6,0,0,1,0,0,0,19
6,0,0,2,0,0,0,19
6,0,0,3,0,0,0,21
6,0,0,4,0,0,0,19
6,0,0,5,0,0,0,19
6,0,0,6,0,0,0,16
6,0,0,7,0,0,0,16
6,0,0,8,0,0,0,14
6,0,0,9,0,0,0,19
7,0,0,1,0,0,0,19
7,0,0,2,0,0,0,19
7,0,0,3,0,0,0,21
7,0,0,4,0,0,0,19
7,0,0,5,0,0,0,19
7,0,0,6,0,0,0,16
7,0,0,7,0,0,0,16
7,0,0,8,0,0,0,14
7,0,0,9,0,0,0,19
8,0,0,1,0,0,0,17
8,0,0,2,0,0,0,17
8,0,0,3,0,0,0,19
8,0,0,4,0,0,0,17
8,0,0,5,0,0,0,17
8,0,0,6,0,0,0,14
