number,index,trip1,trip2,trip3,trip4,trip5,trip6,trip7,trip8,cost,Total
1,1,125,0,0,0,105,0,0,0,3,11
2,7,131,111,133,0,110,138,118,0,3,13
3,17,135,0,0,0,114,0,0,0,3,6
4,18,136,0,0,0,113,0,0,0,3,6
